Centroids:
0.12980407316471276
0.3836544626293602
0.24850882536453034
Clasters:
Max:,Min:,Ave:
0.188995,0.031057600000000001,0.12987701330868734
0.0,0.090011999999999995,2200.0,2772.0
0.0,0.16044600000000001,717.0,904.0
0.0,0.16044600000000001,720.0,904.0
0.0,0.16044600000000001,607.0,904.0
0.0,0.16044600000000001,606.0,904.0
0.0,0.16044600000000001,716.0,904.0
0.0,0.16044600000000001,609.0,904.0
0.0,0.16044600000000001,610.0,904.0
0.0,0.137513,1620.0,1920.0
0.0,0.14082500000000001,1511.0,1921.0
0.0,0.14082500000000001,1621.0,1921.0
0.0,0.14082500000000001,1623.0,1921.0
0.0,0.14082500000000001,1513.0,1921.0
0.0,0.188726,1519.0,1922.0
0.0,0.188726,1535.0,1922.0
0.0,0.188726,1626.0,1922.0
0.0,0.12726599999999999,607.0,902.0
0.0,0.12726599999999999,716.0,902.0
0.0,0.12726599999999999,714.0,902.0
0.0,0.12726599999999999,603.0,902.0
0.0,0.12726599999999999,606.0,902.0
0.0,0.12726599999999999,713.0,902.0
0.0,0.12726599999999999,717.0,902.0
0.0,0.12726599999999999,604.0,902.0
0.0,0.16662199999999999,605.0,901.0
0.0,0.16662199999999999,715.0,901.0
0.0,0.16044600000000001,719.0,904.0
0.0,0.137513,1510.0,1920.0
0.0,0.137513,1618.0,1920.0
0.0,0.137513,1616.0,1920.0
0.0,0.137931,736.0,911.0
0.0,0.137931,629.0,911.0
0.0,0.137931,738.0,911.0
0.0,0.137931,628.0,911.0
0.0,0.137931,627.0,911.0
0.0,0.120118,1594.0,1906.0
0.0,0.166958,1490.0,1907.0
0.0,0.166958,1597.0,1907.0
0.0,0.166958,1487.0,1907.0
0.0,0.166958,1600.0,1907.0
0.0,0.143264,1507.0,1918.0
0.0,0.143264,1619.0,1918.0
0.0,0.16662199999999999,712.0,901.0
0.0,0.143264,1627.0,1918.0
0.0,0.143264,1509.0,1918.0
0.0,0.143264,1520.0,1918.0
0.0,0.143264,1630.0,1918.0
0.0,0.143264,1617.0,1918.0
0.0,0.10766199999999999,1509.0,1919.0
0.0,0.10766199999999999,1508.0,1919.0
0.0,0.10766199999999999,1619.0,1919.0
0.0,0.10766199999999999,1618.0,1919.0
0.0,0.137513,1508.0,1920.0
0.0,0.137513,1621.0,1920.0
